string,n,frequency
of the redeemer spake,4,1
of them both were,4,1
its own likeness upon,4,1
thus we will finish the,5,1
except those days should be,5,1
on of hands for the,5,1
some said,2,1
in which these,3,1
man should be alone,4,2
done and the glory be,5,1
manner of figures is called,5,1
not his first,3,1
he slew him for the,5,1
star may,2,1
he say unto me which,5,1
them because,2,1
man is become as one,5,1
than this did at,4,1
did not touch the floor,5,1
i was clothed upon,4,1
authority from god to administer,5,1
a voice but,3,1
god caused a river,4,1
and magistrates in obeying honoring,5,1
life and the,3,1
them that bless,3,1
the lord who is rich,5,1
it neither shall,3,1
transgression in the garden of,5,1
take in,2,1
shall i rest,3,1
rocks,1,1
which continued to increase until,5,1
of the lord time,4,2
they that is the,4,1
and thou shalt repent,4,1
both man and beast,4,1
i was come near to,5,1
will give them,3,3
nine hundred and years and,5,2
was the second,3,1
satan to have,3,1
will give thee,3,1
records of,2,1
pass that after i,4,1
thing could be made,4,1
lord thy god i dwell,5,1
and seth lived,3,1
have fallen into,3,1
was preserved in the,4,1
them that they should repent,5,1
sanctified it because that,4,1
of darkness until,3,1
and said unto them take,5,1
and beheld,2,4
these grievous judgments would come,5,1
and ordinances,2,2
be had again,3,1
mormon to be,3,1
would come he would have,5,1
circumstances in,2,1
stood by me,3,1
as my father worldly,4,1
heart thy,2,1
who lacked wisdom,3,1
designed,1,2
the people trembled,3,1
descendant from the,3,1
man and his wife and,5,2
the world until,3,1
lord and said,3,1
time is not so,4,1
cause the fowl,3,1
themselves on the,3,1
man from the lord wherefore,5,1
and arabic and he,4,1
the days that adam,4,1
who addressed me said,4,1
a vision persecution still followed,5,1
three hundred and years,4,1
on the earth after,4,1
able to speak than,4,1
clouds of heaven with power,5,1
no man shall,3,1
shall be another,3,3
inhabitants,1,11
i have heard thee and,5,1
feeling in order to have,5,1
due time be,3,1
through ham therefore,3,1
bring,1,18
is slain from the,4,1
my hand,2,5
and intelligence,2,1
am i thy servant,4,1
placed at the east,4,1
now lest he,3,1
the people saying,3,1
at my hand he,4,1
my wisdom them all,4,1
people which dwelt,3,1
judge between thee and god,5,1
power of,2,8
the heads of their,4,1
and all the time suffering,5,1
lights in,2,4
unloosed my bands and his,5,1
to act i did,4,1
shall divide,2,2
otherwise in the midst of,5,1
for all flesh had corrupted,5,1
adam glorified the name,4,1
had not caused,3,2
me thou art after,4,1
in the plains of and,5,2
was going to do,4,1
is his wife,3,1
was guilty,2,1
to his offering,3,2
time of my coming for,5,1
a star may exist above,5,1
firstborn or,2,1
land and to till the,5,1
in the time,3,1
wayne county in,3,2
the foolish,2,1
and she also,3,1
eternal life in this,4,1
and formed the heavens and,5,1
and it was among,4,1
to worship the god of,5,1
undertaking and finally,3,1
turned away from,3,1
not hearken unto my voice,5,1
and shall betray,3,1
persecution however,2,1
gospel shall be called,4,1
built and sustained by,4,1
for i the almighty have,5,1
with the lord face to,5,1
shall be,2,79
a fulfilment of those,4,1
had this vision i happened,5,1
unto man behold,3,1
of the people of god,5,2
only evil continually,3,1
proselyted to,2,1
in nowise inherit the,4,1
of a child,3,1
endeavor hereafter,2,1
and methodists in their,4,1
exertions were used,3,1
under heaven could,3,1
a city and he called,5,1
upon the seventh time because,5,1
future period and,3,1
me among professors of,4,1
disposition to,2,1
eight hundred years and he,5,1
as the blind for the,5,1
the floods came and,4,1
after he begat enoch eight,5,1
cause i know,3,1
truth which is jesus christ,5,1
heaven the earth is my,5,1
wisdom might ask,3,1
power to,2,3
pass that enoch continued,4,3
for my natural eyes could,5,1
wise servant,2,1
pure personage dictated by the,5,1
these things freely unto,4,1
and called upon god saying,5,1
for i give,3,1
of his vision,3,1
son and his,3,2
looked upon their,3,1
with child,2,1
my communication not only lightly,5,1
we had been baptized we,5,1
when we received under,4,1
another and he told,4,1
ever since the day,4,1
the earth yea even all,5,1
come unto adam to see,5,1
god created it yea,4,1
father and son and the,5,1
also his three,3,1
against the people of and,5,1
me discovered something to,4,1
arose,1,5
come on the earth,4,1
he first,2,1
begat eight hundred and,4,2
informed that the time,4,1
unto thee to declare,4,1
expanse in the midst,4,1
him into the garden,4,1
shall they deliver you,4,1
serpent beguiled me and,4,1
to lead them,3,1
no longer,2,1
and and none other,4,1
with their lips,3,1
shall go,2,3
lord god had given him,5,1
the lord came and dwelt,5,1
an appeal to the,4,1
he laid it an,4,1
records have come into my,5,1
wax sore in the land,5,1
wife when i was in,5,1
shown forth shall,3,1
will be built,3,1
who shall come in,4,2
translation was correct more so,5,1
in the day that,4,5
of baptism by,3,1
and his heart was pained,5,1
men the same privilege let,5,1
just experienced when almost,4,1
the interesting account given by,5,1
tent there on,3,1
so that all their good,5,1
i was under the necessity,5,1
upon his sons,3,1
thee up and it,4,1
they have sought his,4,1
the heads of the children,5,1
even all things which,4,1
all their creeds,3,1
thinner towards the,3,1
to know the set time,5,1
eve his wife ceased not,5,1
have given,2,3
other times i found my,5,1
worshiping of,2,1
life there shall be given,5,1
contending against priest and,4,1
the blind for the wall,5,1
cast his eyes and beheld,5,1
righteous is,2,1
to the appointment of god,5,1
repented of their sins should,5,1
everywhere to repent and,4,1
took lot my brother son,5,1
further stated that,3,1
and misery shall be their,5,1
again i beheld the,4,1
and thirty years and he,5,1
and enoch and all,4,1
these two spirits notwithstanding one,5,1
december in the town,4,1
such an attempt for,4,1
south and there was a,5,1
that the first principles and,5,1
expressed at the,3,1
interpretation of tongues and so,5,1
and female created i them,5,1
desolation spoken of,3,2
god hath said ye shall,5,1
have come down,3,3
sake in sorrow shalt thou,5,1
tree that is pleasant,4,1
lord and the,3,3
such strict charges to keep,5,1
inquirers,1,1
incidents immediately connected with the,5,1
came the saying abroad,4,2
only begotten thou made me,5,1
all lies,2,1
day and,2,20
forms and systems practiced,4,1
only the beginning of the,5,1
in sorrow,2,2
and they knew every,4,1
far from the top,4,1
thoughts of his,3,1
is thy glory,3,2
this time so deep were,5,1
which turned every,3,1
beast and the creeping,4,1
hear him upon the,4,1
had not,2,11
pray thee show me these,5,1
a person young as i,5,1
not attempt to,3,1
and i fell helpless on,5,1
had now,2,1
glory has,2,1
numbered unto man but,4,1
might be asked have men,5,1
the earth after,3,7
shall it,2,2
myself to prayer,3,1
the right hand of the,5,1
likewise shall mine,3,1
beheld for i should,4,1
whereon these,2,1
and as they lifted,4,1
rulers and magistrates in obeying,5,1
follower of righteousness and to,5,1
you therefore,2,2
this priest had,3,1
he then said,3,1
shalt be,2,7
same which was,3,1
made and he said unto,5,1
and all the hosts of,5,1
divided the waters,3,2
his brethren and said unto,5,1
united with them but,4,1
and persecuted for saying,4,1
hands had made which were,5,1
father and farmed,3,1
beginning shall be in,4,1
poignant still i kept myself,5,1
name noah saying this son,5,1
hereafter to delineate,3,1
scene of great,3,1
heard the,2,4
in the image of the,5,1
departed as,2,1
its kind and the gods,5,1
it was for the space,5,1
reign personally upon the,4,1
have waxed hard,3,1
not read a sealed book,5,1
which he spake unto,4,1
a gentleman celebrated,3,1
flood came,2,1
if possible to discover the,5,1
also unto his wife,4,1
ended my work and all,5,1
leaned up to the,4,1
heard as in the,4,1
i shall endeavor hereafter to,5,1
in thy seed after,4,1
is there shall be,4,1
was a whiteness beyond anything,5,1
a living soul the first,5,1
god have we not taken,5,1
irreligious,1,1
of by the sea east,5,1
the beginning said unto,4,1
and i looked towards,4,1
or praiseworthy,2,1
and seven fold,3,1
write the directions given,4,1
only waited for,3,1
i took lot,3,1
had when,2,1
zion shall dwell,3,1
shalt do,2,1
description and his countenance,4,1
the prophet said,3,1
and ye shall receive the,5,1
of mine only begotten i,5,1
few incidents immediately,3,1
him for from this time,5,1
unto them the sons,4,1
hour no one,3,1
he was mad,3,1
name of thine,3,2
oath that he would,4,1
priesthood the lord my god,5,1
all my powers to,4,1
utterly destroyed,2,1
closed up,2,2
heavens they are,3,1
holy ghost fell upon him,5,1
vermont,1,2
and do ye,3,1
away so shall also the,5,1
related to me the previous,5,1
saying in the name,4,1
all wrong and the,4,1
air and over every living,5,2
he gloried,2,1
of man coming in the,5,1
heard thy,2,1
in the air for,4,1
enos lived,2,2
heaven would supersede my present,5,1
lord saying o lord wilt,5,1
time suffering severe persecution,4,1
went out and departed,4,1
i should continue to,4,1
i put the,3,1
commanded i went,3,1
but behold my beloved son,5,1
zion was,2,2
resurrection from the dead yea,5,1
the end from the beginning,5,1
only begotten is the same,5,1
heaven as before and,4,1
seth lived one hundred,4,1
very prevalent story,3,1
my fathers,2,3
gods said let,3,4
person was glorious beyond,4,1
of the gospel which are,5,1
god withdrew from,3,1
ever look upon this expression,5,1
of time it came to,5,1
get ye,2,1
of the tree yielding,4,1
into divers,2,1
places and cried,3,1
the prophet concerning the destruction,5,1
and for these many generations,5,1
thinner towards,2,1
and so unacquainted with,4,1
soul shall not,3,1
the day and over,4,1
receive instructions,2,1
vermont and moved to,4,1
twelve,1,1
told me that i,4,1
with man for he,4,1
of the religious sects of,5,1
i had ever,3,1
get ye upon the,4,1
glorified and crowned on,4,1
which i had had concerning,5,1
called after thy name,4,1
my father and tell him,5,1
heads for ever and,4,1
the sea east i,4,1
an holy city,3,1
must have no other object,5,1
only begotten of the father,5,2
elect be,2,1
it shall be said in,5,1
the holy ghost asking,4,1
the land unto,3,1
on the housetop flee and,5,1
the field and,3,7
fifteenth year,2,1
could endure his,3,1
arise and take,3,1
for he shall know,4,1
lo here is,3,1
same which was from the,5,1
works except he,3,1
he became satan,3,1
because that adam fell,4,1
disabuse the public mind and,5,1
tongues and so forth,4,1
cain were,2,1
every tree that,3,1
him for,2,7
of his seed should,4,1
to wisdom mercy truth,4,1
souls that,2,2
active in the before,4,1
must come to,3,1
head and,2,3
seasons in the,3,1
the name of josiah,4,1
also shall hear of,4,1
been put in circulation by,5,1
is kindled against them for,5,1
and believe and repent of,5,1
the service,2,1
in the of mine only,5,1
two facts do exist that,5,1
visible to,2,1
were married at the house,5,1
keys of the priesthood,4,1
people save it were,4,1
lord might be fulfilled which,5,1
in those days,3,5
and shall cut him,4,1
is forbidden,2,1
come up dry and,4,1
shall divide themselves,3,1
the royal descent directly,4,1
came forth,2,4
eyes and beheld the,4,1
is my name and endless,5,1
and i abraham arose,4,1
shall remain upon earth,4,1
made his defense before king,5,1
and that the lord smiled,5,1
which thou therefore the reckoning,5,1
priesthood and afterwards,3,1
received the priesthood,3,1
my having received the plates,5,1
so shall another,3,1
noah and his,3,4
extract,1,1
was prepared from before the,5,1
came and took them all,5,1
priesthood for so we were,5,1
to go to,3,1
daughters and they,3,1
tree of knowledge of good,5,3
throat and if thou,4,1
hundred and forty,3,1
the lord and he stood,5,1
in righteousness for the,4,1
and sustaining the,3,1
behold i will raise up,5,1
me after his,3,1
the tree of life and,5,1
i commenced to,3,1
he that shall not be,5,1
said the woman thou me,5,1
never mind,2,1
opened to my mind,4,1
very elect,2,1
in the day thou,4,1
firmament and,2,2
jubal who was the father,5,1
the which signifies hieroglyphics,4,1
to all cattle and,4,1
he was left unto,4,1
had heard him they came,5,1
native cheery,2,1
said that all,3,1
with the last verse,4,1
aloof from all these parties,5,1
thine forever,2,1
myself to destruction not,4,1
marveled and wondered,3,1
unto adam and also unto,5,1
to sit under the sound,5,1
thou shalt be,3,7
ghost and rejoiced,3,1
shall not see,3,1
month may we on,4,1
it was so and,4,2
upon the high places,4,2
my father who was,4,1
they loved satan,3,2
who keep their first,4,2
write from,2,1
so great and,3,1
who art thou,3,1
mormon and his faithful son,5,1
before my face and,4,1
know now is bone of,5,1
me abraham the,3,1
and drinking marrying,3,1
my bedside and,3,1
file off,2,1
and i god saw that,5,6
nevertheless calling upon god,4,1
that the messenger had,4,1
cain went,2,1
earth which hath opened,4,1
canaan for behold the,4,1
preachers who was very,4,1
being declared by holy,4,1
were naked,2,1
alone wherefore i,3,1
name of god and they,5,1
behold here,2,1
save the lord commanded,4,1
his hand against,3,1
earthly thing,2,1
plates in,2,1
yes more above,3,1
which he had determined,4,1
the power of the language,5,1
gods called,2,2
thus behold,2,1
manner his kingdom,3,1
all things have,3,1
he would do according,4,1
and enoch continued his speech,5,1
harrison and my sister,4,1
i stretch my,3,1
posterity of all,3,1
all inquirers after truth in,5,1
has not,2,1
my hand shall,3,1
our substance that,3,1
shall divide the waters,4,1
thy husband and he shall,5,1
root nor branch,3,1
and moses received,3,1
came a man unto,4,1
also we will give to,5,1
the ankles,2,1
december and the february,4,1
went to my father and,5,1
thou shalt do,3,1
my hands and i,4,1
i was clothed,3,1
world could not make,4,1
before and multitudes were on,5,1
enoch continued to call upon,5,1
there was a book deposited,5,1
and john who,3,1
or first father through the,5,1
had said concerning every,4,1
and his words i,4,1
before it grew for the,5,1
have no other object in,5,1
family related to him the,5,1
famine abated,2,1
that they might,3,4
any beast of the field,5,1
plates to,2,1
you also,2,1
shall be fulfilled that which,5,1
beginning of that which they,5,1
done and the glory,4,1
pharaoh and also,3,1
they were persecuting me,4,1
opened her,2,1
a vision and who am,5,1
of the thoughts of his,5,1
of those days and the,5,1
by those who ought to,5,1
day i will deliver,4,1
came wars,2,1
lord that,2,2
out of the east and,5,1
dwell in the midst,4,1
room was,2,5
cursed shall be the ground,5,1
and by his fall,4,1
thus behold i,3,1
after we had,3,2
of the rib,3,1
to have treated,3,1
after their kind,3,9
were done in secret,4,1
the days of cain,4,1
notwithstanding the pharaohs would fain,5,1
were my strength entirely,4,1
were fair,2,1
neither to my,3,1
were it not for,4,1
was dishonest others said he,5,1
unto cain by,3,1
among the different,3,1
and having been forbidden,4,1
knowing good and evil,4,1
and fifty,2,1
whosoever,1,1
ghost,1,15
of the lord and the,5,2
the inhabitants thereof and there,5,1
they should come,3,1
desolation spoken,2,2
and fifth,2,1
sea that it was troubled,5,1
parties are right or are,5,1
to pass that enoch looked,5,2
recorded in the language of,5,1
and having been forbidden to,5,1
their necks,2,1
thou shalt rule over him,5,1
my sister,2,2
above me in,3,2
and he talked with me,5,1
plates of,2,1
thyself for it,3,1
to militate against its character,5,1
to him and the characters,5,1
spiritually,1,2
stand in our,3,1
presbyterian faith and four of,5,1
earth both above,3,1
company with one of,4,1
and the lamb is,4,1
she bare unto him,4,1
went to hide,3,1
looked around me,3,1
eat bread until thou,4,1
and by the gift,4,1
are created,2,1
january we,2,1
very same things which he,5,1
hour as ye think not,5,1
the god of,3,18
levity and sometimes associated with,5,1
faith of enoch,3,1
found myself delivered,3,1
wickedly shall burn as,4,1
persecution still followed,3,1
which all things and,4,1
life and also,3,1
said among,2,1
having a language,3,1
thee the workmanship of,4,1
come for he saith,4,1
bless them that bless,4,1
the prophecy of moses,4,1
meaning and intention,3,1
and cause them to,4,1
of bigots,2,1
have given unto you,4,1
noah entered,2,1
earth before the,3,1
the land of the,4,3
born again,2,1
when on the evening of,5,1
to me and withdrawn,4,1
house and all,3,1
above all cattle,3,1
by immersion,2,2
ordered and the,3,1
sanctify,1,1
i abraham departed,3,1
his family consisting of eleven,5,1
shortly after arose,3,1
obscure boy of a little,5,1
the floods will,3,1
hid and i shall be,5,1
to the determination,3,1
me look,2,3
him for he walked with,5,1
immediately around the,3,1
continued and rumor with her,5,1
of aaron,2,1
numbers were,2,1
thou count the number,4,1
as i journeyed,3,1
kingdom shall be,3,1
was dishonest others said,4,1
the waters called i,4,1
his wife and many,4,1
will yet reveal,3,1
voice out of heaven,4,2
hale of that place,4,1
may exist,2,1
who keep their first estate,5,2
many that now stand,4,1
was recorded in the,4,1
and the source from whence,5,1
and forever that as thou,5,1
was a resident,3,1
for because of,3,1
did for how,3,1
of glory from the upper,5,1
verse of,2,1
of my posterity that shall,5,1
of the lord was to,5,1
had prepared them for the,5,1
kind and the earth to,5,1
when i say that earth,5,1
conferred on us hereafter,4,1
the waters called i the,5,1
pass but the end,4,1
priest holding the right belonging,5,1
saying that i had seen,5,1
from all thy,3,2
which are and which,4,1
ask thee if thou wilt,5,1
woman to look,3,1
meetings as often as occasion,5,1
heart nor,2,1
prison,1,2
faith of,2,2
everlasting,1,3
such strict,2,1
of the daughter of ham,5,1
the water and was brought,5,1
creations which i have made,5,2
strange,1,7
of the altar,3,1
for the use of,4,1
and the saints,3,1
die for god,3,1
also beheld,2,1
these words satan,3,1
to be for lights,4,1
particle of it which he,5,1
appointment unto the priesthood according,5,1
behold all things which i,5,1
their own sins and not,5,1
they were both,3,2
esteem my,2,1
go forth and declare,4,1
my pocket and was just,5,1
not the angels of god,5,1
so doing and verily i,5,1
covenants,1,1
of was smitten,3,1
fervent,1,1
their first estate shall,4,2
if any man shall say,5,1
honoring and sustaining,3,1
that he should come again,5,1
that had covenanted with satan,5,1
you to the representation,4,1
seed yielding,2,2
almighty god for,3,1
i will show thee,4,2
it because that in,4,1
if there be two,4,2
verse to,2,1
tender years and,3,1
their knowledge in the day,5,1
will slay me,3,1
god shall take,3,1
i a woman and,4,1
seen a vision he knew,5,1
history to,2,1
who hath,2,1
wherefore he may not reject,5,1
which is jesus christ the,5,1
into zion,2,1
sat upon the mount,4,1
father may,2,1
and the earth after,4,1
know that i,3,1
the world could not,4,1
his literary attainments,3,1
was unto,2,1
end is not,3,1
found the same messenger,4,1
life and commanded that whatsoever,5,1
come down to visit them,5,1
star may exist,3,1
i took one,3,1
shall divide themselves in,4,1
of god wherefore enos,4,1
belonging,1,1
also his three sons,4,1
faith in,2,1
to go down into,4,1
february the,2,1
upon mine eyes and,4,1
such marvelous power as,4,1
from the beginning i,4,1
thy god sent,3,1
eternal life which god,4,1
an offering unto the,4,7
lived years,2,2
famine might be turned,4,1
the sand upon the sea,5,1
all cattle to the,4,1
and smite them with a,5,1
and from thy father,4,1
eleventh chapter of isaiah,4,1
had just experienced when,4,1
the sixth day,3,1
eye can pierce,3,1
taken unto ourselves,3,1
him and he has,4,1
show me these,3,1
saying of every tree,4,2
sacrifices unto the lord,4,1
every herb,2,5
a temporal salvation wherefore,4,1
eldest son of the,4,1
had one,2,1
a prison have,3,1
on still towards the,4,1
to our understandings,3,1
of the righteous be,4,1
yonder to behold the seer,5,1
wilt thou not bless,4,1
message from the most high,5,1
been a,2,1
part of it was,4,1
divided,1,5
and a book of remembrance,5,1
my name shall be known,5,1
things did he say unto,5,1
bows and these stones fastened,5,1
persecute him unto death yet,5,1
so that it divided,4,1
i will give unto,4,1
they should be obtained,4,1
their course and,3,2
should none of their,4,1
they were called the sons,5,1
only begotten is the son,5,1
witness unto all nations and,5,1
men even as,3,1
such as handle,3,1
another seed,2,1
eat bread until,3,1
happened to be,3,1
every stratagem,2,1
him into the,3,1
to kings presidents,3,1
eighteen hundred and,3,2
even the devil the father,5,1
being now the eighth year,5,1
certainty that we heard the,5,1
gotten a man from,4,1
i should give,3,1
they did in reality speak,5,1
worship the god of,4,1
did again receive,3,1
he called his,3,3
from him,2,1
vision was opened to,4,1
that it was after the,5,1
unto cain that he,4,1
what sect they pleased,4,1
and i hid,3,1
from his,2,3
thus noah found,3,1
now stand,2,1
exist behold thine eyes,4,1
is it that men,4,1
who have,2,1
saw that the wickedness,4,1
bind my,2,1
birth,1,1
great excitement my mind,4,1
wherein the sins of,4,1
out from the land which,5,1
the day when,3,1
touch with,2,1
with an,2,2
called again upon the name,5,1
lord spake these words unto,5,1
an understanding of these,4,1
he rejected,2,1
spiritual things which,3,1
four winds from one,4,1
the lord came and,4,1
flesh upon,2,2
the earth beneath in all,5,1
was still,2,1
faiths expressed at,3,1
spirit that is the man,5,1
them not unto any except,5,1
in thee and in,4,1
wasted at his coming,4,1
i would never know,4,1
the only,2,5
of eleven,2,1
this cause,2,2
the place where we lived,5,1
earth shall pass away and,5,1
stretched out still and yet,5,1
ceased,1,2
asked me how,3,1
matthew,1,1
of all the thou seen,5,1
the waters pronounced,3,1
of secret works seeking,4,1
begat seven,2,1
breastplate as stated by the,5,1
zion shall dwell in safety,5,1
come into the borders,4,1
prayed unto the lord,4,1
of moses as,3,3
thus have,2,1
seen nor do i believe,5,1
works which my hands have,5,1
bush saying,2,1
not stand,2,1
as among thy brethren,4,1
ground made,2,2
required at,2,2
my continuing,2,1
to be a father,4,1
the excitement however still,4,1
put it into him,4,1
manner,1,16
take thee away out,4,1
sharon windsor,2,1
bear my,2,1
appeal to the bible,4,1
daughters and all the,4,3
be cleansed by blood even,5,1
god blessed them and said,5,1
which the waters brought,4,1
my father house,3,1
which surrounded,2,1
repented of the,3,1
upon the face of,4,8
all eternity and naught but,5,1
the and it stood,4,1
the son saying,3,1
it was parted,3,2
that lineage by which,4,1
called zion a,3,1
thee thou art,3,1
said and also given commandment,5,1
and he is,3,1
john who held the,4,1
the upper side and,4,1
the utmost gratitude,3,1
them their knowledge in,4,1
lord could not withhold and,5,1
and then the lord,4,1
christ but,2,1
fulness of the,3,2
lord a messenger,3,1
unto one place and,4,2
shall not be overcome,4,1
be made to appear so,5,1
presented the characters,3,1
give suck in those days,5,1
but that this should be,5,1
ground and breathed into his,5,1
know that all flesh shall,5,1
the city of new york,5,2
tree yielding,2,6
the angels,2,1
obey thy command as if,5,1
of the day but,4,1
own conscience and,3,1
redeem,1,1
of which have,3,1
itself after his kind,4,2
his preaching,2,2
the humble after,3,1
the representation,2,1
sprang that race which,4,1
which reads if any of,5,1
from me satan for this,5,1
called the first elder,4,1
very fair woman to,4,1
he not for,3,1
last chapter,2,1
i commanded thee saying thou,5,1
when you therefore shall see,5,1
day but,2,1
of the sea,3,6
was administered unto cain by,5,1
live because,2,1
to the beginning,3,1
an angel of god had,5,1
and the lord god,4,3
that were organized before,4,1
but strange or not,4,1
and lo i,3,1
hate me for,3,1
said unto me my son,5,1
moses began,2,1
of all the sons,4,1
together unto one place and,5,2
woods to pray and,4,1
and lo a,3,1
those mansions where,3,1
an holy,2,2
me and create,3,1
all the children of canaan,5,1
holy personage,2,1
eyes beheld our ears heard,5,1
and abode upon,3,1
deliver thee from the hands,5,1
begat,1,32
utterly destroyed them,3,1
unto me concerning,3,1
savior to the ancient,4,1
began,1,19
in one year,3,1
eve blessed the name of,5,1
also had the,3,1
for he stood,3,1
held the keys,3,1
he was taken for as,5,1
without number have,3,1
seer for he,3,1
the city of,3,3
should be allowed to,4,1
away by their idolatry but,5,1
the gospel which,3,1
also the fourth,3,1
which god had,3,1
now behold i,3,2
fact above them that,4,1
which have been designed,4,1
have made,2,6
fled and stood,3,1
order if possible to,4,1
is there shall be another,5,1
the only begotten,3,4
whole from the foundation of,5,1
i confer this priesthood and,5,1
verse as,2,1
men having a,3,1
the filthiness which,3,1
now this same priesthood which,5,1
end of all flesh,4,1
be given,2,5
now the serpent,3,1
canaan which dwelt in tents,5,1
his hand the,3,1
feeds the many and the,5,1
i took whom,3,1
both to myself and,4,1
said unto enoch look and,5,1
be cut off but,4,1
the most bitter persecution and,5,1
open expanse of,3,1
i hope to adore in,5,1
with the rise of this,5,1
no less than the spirit,5,1
sometimes abroad,2,1
arrival there i commenced copying,5,1
paul we believe all,4,1
henceforth and know that,4,1
false prophets and shall show,5,1
as they have,3,2
had ordered until,3,1
god to be poured out,5,1
in sorrow thou shalt bring,5,1
before this heavenly,3,1
are and by,3,1
and was brought,3,1
let fowl multiply,3,1
i said and also,4,1
sought to destroy the agency,5,1
temple as thou said,4,1
great contempt saying it,4,1
and of the stars,4,1
cease digging after,3,1
were formed in,3,1
have such facts,3,1
and four of,3,1
with jovial company,3,1
and to take thee,4,1
my lord,2,1
god to write by the,5,1
the onyx,2,1
of darkness began,3,1
taken and,2,2
serpent we may,3,1
said they shall,3,1
thou art just thou art,5,1
good and the evening and,5,3
the planets and of,4,1
ordained me,2,1
be born again into,4,1
was glorious beyond description,4,1
many days an angel of,5,1
had covenanted with,3,1
child did the,3,1
asking,1,1
which is it and how,5,1
either remain in darkness and,5,1
had created and he,4,1
of their flesh be,4,1
an host,2,1
the world for a witness,5,1
time who was,3,1
had ever seen nor,4,1
am thy dispelled every fear,5,1
and bloodshed among them,4,1
which continued to increase,4,2
the hands of the,4,1
was wroth and listened,4,1
mine only begotten who,4,1
the rib which i,4,1
kind forever and thou,4,1
another more intelligent than they,5,1
at home,2,1
and shall show great,4,1
henceforth,1,4
years old when i departed,5,1
from the bosom,3,1
he filled me with the,5,1
thy will be,3,1
unto the heavens i will,5,1
said unto me and lot,5,1
under the heaven,3,2
shall see her,3,1
her alive therefore,3,1
time employed in circulating falsehoods,5,1
shalt be a blessing unto,5,1
would supersede my present design,5,1
unto him sons,3,1
heathen in offering up,4,1
with the vision of,4,1
were the fifth day,4,1
an hour,2,2
the custom,2,1
words satan,2,1
at least to,3,1
were wrapped,2,1
of speech,2,1
put the,2,2
who was doomed,3,1
they might bring forth great,5,1
thy name and shall,4,1
be offended and shall betray,5,1
god since,2,1
this he had,3,1
thy country and from,4,1
the source,2,1
be barren,2,1
beginning and they that,4,1
authors thereof,2,1
appointment of,2,1
heaven created,2,1
have everybody converted as they,5,1
never more be,3,1
gods of wood or,4,1
ye shall be hated of,5,1
i am without beginning of,5,1
took glory unto,3,1
all these parties are right,5,1
a righteous judge who,4,1
of water,2,2
fear soon left me,4,1
and begat a son in,5,1
shall be great,3,1
said truly,2,1
the flood,2,2
heart nor the majestic beauty,5,1
remain upon earth that,4,1
therefore see that,3,1
woman what is this,4,1
him to the priesthood,4,1
journeyed from the land of,5,1
which i gave unto,4,1
the floor,2,1
how and,2,1
the lord had shown unto,5,1
stones crossways,2,1
and as he was,4,1
man ascend up unto,4,1
tree,1,28
they at present,3,1
temple and the,3,1
behold i speak these,4,1
asked me,2,1
often poignant,2,1
just thou art merciful and,5,1
and come,2,1
cain for the seed,4,1
it and held,3,1
it should be both good,5,1
to come,2,6
after he begat eight hundred,5,2
the anxiously looked for,4,1
not and have perished in,5,1
i should baptize in,4,1
filled me with,3,1
father taught,2,1
they that is the gods,5,1
son prayed unto the lord,5,1
light and the stars,4,1
man of holiness is,4,2
and unto them that,4,2
my work which i,4,1
cherubim and a,3,1
say unto one i,4,1
and obtain and not,4,1
should choose me their father,5,1
the of january,3,1
his face from,3,1
dwell in the midst of,5,1
reason and,2,1
west side,2,1
and the serpent said unto,5,1
their doom and,3,1
the other and,3,1
was created and,3,1
you the,2,4
forth herb from its own,5,1
them as had,3,1
upon his people,3,1
but remember that i forbid,5,1
enoch and jared lived,4,1
had ever,2,1
the gods organized,3,5
the firmament,2,8
glad,1,2
house when,2,1
and intention of,3,1
september after i had,4,1
to beguile eve,3,1
of the son,3,11
behold i speak for,4,1
sins of the parents,4,1
forbidden when this,3,1
our books he,3,1
glory of the lord,4,2
of the earth were before,5,1
and rest for,3,1
the posterity of,3,1
by blood even the,4,1
are the governing ones,4,1
the second river was,4,1
shall exist after for they,5,1
said unto me father,4,1
was high,2,1
september,1,3
the sphere,2,1
and i found,3,1
he sought to,3,1
many of the,3,3
of thee a minister,4,1
asked me how the young,5,1
the land and the,4,2
while the veil was parted,5,1
morning that they called,4,2
the heads of,3,2
he walked with god,4,2
kingdom against kingdom there shall,5,1
reign even,2,1
from god,2,3
saying it was,3,1
multitudes were on the alert,5,1
and thus he was baptized,5,1
under the edge of,4,1
arose from,2,2
first estate and,3,2
deny what,2,1
the wilderness,2,1
adam began to divide,4,1
cause of great persecution which,5,1
fulfilled but was,3,1
should give,2,1
that they may know to,5,1
different sects understood,3,1
dwell and we,3,1
and heard him rehearse,4,1
us go down and,4,1
sleep to,2,2
refuse to,2,1
time forth thou shalt,4,1
of the sun,3,1
it and great,3,1
was christ but the day,5,1
to the same priesthood for,5,1
however that my,3,1
and glory which surrounded us,5,1
patriarchs concerning,2,1
and i god,3,31
of god for,3,3
among them saying i,4,1
as many as believed not,5,1
for doctrines the,3,1
god and it displeased god,5,1
the plains,2,2
prepared the,2,2
against its character as a,5,1
he replied to,3,1
lord saying o lord,4,1
thee by my hand,4,1
be mentioned,2,1
other sons and daughters,4,3
me reviling me and,4,1
and the lord had,4,1
all things have their likeness,5,1
