string,n,frequency
sea even the,3,1
quantity of,2,2
valiant of louisiana,3,1
themselves in their,3,1
over proctor army,3,1
man of courage,3,5
then did the enemies of,5,1
of and which lie on,5,1
faith to the united,4,1
one another their,3,1
the remembrance thereof,3,1
aloud the which was the,5,1
so when winchester,3,1
now when it,3,1
of britain he captured a,5,1
their counsellors rose,3,1
they guarded themselves against,4,1
upon the the plains,4,1
verily said they,3,1
depredations and,2,1
king therefore they murmured,4,1
great multitude of people went,5,1
into their vessels,3,4
jackson,1,44
but her captain,3,1
fall into,2,3
himself a preacher,3,1
were slain and,3,14
lay waste their habitations,4,1
cheer their,2,1
whom he followed after,4,1
he stole,2,1
that day there,3,1
all other days were,4,1
was called fell an easy,5,1
united state frigate,3,1
from the land into,4,1
so that decatur was,4,1
britain save,2,1
of the christian sect that,5,1
this time the strong vessels,5,1
and drew down,3,1
in the air with,4,1
were inclined,2,1
wounded behind to,3,1
blood of two hundred,4,1
was done to,3,1
and the thundering noise,4,1
to escape but he was,5,1
in the rear and annoyed,5,1
before the battery,3,1
unbounded,1,1
to break the charm with,5,1
the cold and,3,1
cause the people to rise,5,1
they laughed at him nevertheless,5,1
raged with great violence,4,1
the south he,3,2
and ripley was,3,1
waxed hot and they began,5,1
seventh day of the same,5,1
cast forth scalding water,4,1
great multitudes of the soldiers,5,1
saying even,2,1
patterson went,2,1
also slain and the loss,5,1
chief captain gave,3,3
the instruments of destruction,4,3
year,1,54
swamp being distant from the,5,1
also passed over,3,1
the vessel issue,3,1
the place heard the noise,5,1
king that carried,3,1
doves for they killed,4,1
he stood,2,1
of the king gordon a,5,1
contrived to move,3,1
them by their aged,4,1
favored the king of britain,5,1
slain outright and there were,5,1
laugh for they were sorely,5,1
columbia assailed the men of,5,1
when there was an end,5,1
war which the,3,1
of lightning in,3,1
the lemon and the golden,5,1
he raised his,3,1
ontario being numbered were about,5,1
they were like unto a,5,1
of his finger was,4,1
slew some and made,4,1
captain in high,3,1
hundred ninety and four,4,1
of england but,3,1
early in the morning they,5,1
began the roaring noises,4,1
they shall be called,4,1
was a righteous,3,1
and give you for an,5,1
was somewhat after the,4,1
the for he had,4,1
they committed at washington,4,1
and the band that,4,1
arts of,2,2
and his name is despised,5,1
of the former princes of,5,1
sport with the mighty blockade,5,1
of britain that thereby,4,1
was about two,3,3
when the written paper,4,1
skim the,2,1
guy was a valiant,4,1
the south lo,3,2
south carolina and,3,1
army of were overshadowed with,5,1
wherein he invited them,4,1
came in their strength,4,1
one who hath,3,1
columbia the shouts of,4,1
as they directed a fighting,5,1
ship of britain struck her,5,1
beginning of the one,4,1
chief warrior of the creek,5,1
powerful enough,2,1
chief captain from the west,5,1
a beautiful place,3,1
through the thick,3,1
host towards the plains,4,1
river niagara towards,3,1
committed great,2,1
but receive,2,1
compelled to abandon the,4,1
themselves to pay tribute,4,1
number of the servants of,5,1
together abundance of the black,5,1
served his body as they,5,1
sloop cf war,3,1
his booty and,3,1
the king of spain,4,1
commissioners to join themselves with,5,1
of decatur so after sailing,5,1
wind gently over,3,1
well the matter they,4,1
day being the anniversary of,5,1
soldiers under him even,4,1
to go against,3,15
king are mighty men of,5,1
demonstrated to the,3,1
nevertheless they set them to,5,1
and needy without,3,1
dead of the night they,5,1
did are,2,1
called about,2,1
the king treated him,4,1
their slain behind and,4,1
continued to rage,3,2
them not they landed a,5,1
many days after those things,5,1
for him by the people,5,1
was wounded and made captive,5,1
in the heart of,4,1
printing was not known among,5,1
stood the tree,3,1
who went out and,4,1
fight so he opened upon,5,1
and carried him through,4,1
whose name was a man,5,1
and porter raised,3,1
cross over neither,3,1
and samuel a philosopher mitchel,5,1
a superb edifice rears its,5,1
brave mariners deserted her and,5,1
captured the king fleet on,5,1
propositions of the barbarians and,5,1
might against the,3,2
days were made,3,1
on a fleet,3,1
army against,2,4
the wicked who had fallen,5,1
movements were,2,1
and they agreed to,4,1
of britain assailed the guards,5,1
said they,2,4
feet even from,3,1
they burnt the houses and,5,1
engines became silent he,4,1
dove to its tender,4,1
his services in,3,1
cherry and the rosy,4,1
sallied out of fort,4,1
thigh with great slaughter and,5,1
the king fleet on the,5,1
drinking of the,3,1
and skill,2,1
the south at,3,1
spread upon the bosom,4,1
small vessel of columbia carrying,5,1
of columbia near the place,5,1
him and the wisdom thereof,5,1
god of israel,3,1
below,1,1
these circumstances it,3,1
savage came in,3,1
took two,2,1
however the things,3,1
do give up,3,1
among them to,3,2
the king fleet were,4,1
reflecting in the sun a,5,1
all sides however,3,1
columbia were commanded by,4,1
departed from the river neither,5,1
not done even among,4,1
moreover the peacock sunk,4,1
it was a night,4,1
soldiers undisciplined and,3,1
such things,2,1
were slain outright,3,2
overcome now the savages,4,1
britain two,2,1
of britain blockaded decatur and,5,1
thou defended thy ship like,5,1
became manifest and,3,1
the tents,2,1
when he had conquered the,5,1
partly of brass partly,4,1
deeds of samuel,3,1
the tenth,2,10
another chief captain,3,1
mighty host came out,4,1
entreated him a,3,1
were slain and maimed,4,3
gather together the of the,5,1
the history of the late,5,1
whole island of britain,4,1
speaking in the wickedness,4,1
were my strength,3,1
he ran out before,4,1
war frolic by the,4,1
king drew nigh,3,1
earth from the red cherry,5,1
pass that lest the fleet,5,1
was built by,3,1
the little children and the,5,1
put their men of,4,1
them foolish and thinking,4,1
unto the captain thereof,4,1
inclined to laugh for,4,1
were with him were,4,2
and the friends,3,1
of the king crossed,4,1
made about four score women,5,1
in secret concerning the matter,5,1
a great way off and,5,1
a reed shaken,3,1
the champions of england who,5,1
thither about a thousand at,5,1
stupendous falls,2,1
liberty and violated the sanctuary,5,1
immediately the mouths,3,1
illuminations or,2,1
pride was wounded whilst the,5,1
with our might to help,5,1
surrender of his army and,5,1
the great river which,4,2
like chaff before the wind,5,1
their warriors leaving,3,1
month he espied from afar,5,1
but for the false words,5,1
wealthy,1,1
had threatened to,3,1
were few for they,4,1
the kingdom,2,9
the toil of many,4,1
the last of importance,4,1
spoil to prescott from,4,1
band who,2,1
the shivering soldier over,4,1
did the host of britain,5,1
on the fourth,3,4
the days of jehoshaphat,4,1
certain governor of,3,1
the red cross of,4,1
american coast in,3,1
so that the charge,4,1
of maryland that,3,1
and to trade,3,1
of thomas and they,4,1
land which in the east,5,1
neither move to,3,1
henry clay and russel,4,1
they overturned,2,1
upon advantageous ground on,4,1
force and went,3,1
covered the green fields,4,1
four hundred those,3,1
thou refuse to,3,1
and noble and cowardice hath,5,1
disappointment bad,2,1
entrap the,2,1
if i would make,4,1
man whose name was was,5,1
constitution escaped,2,1
were twofold,2,1
oil and their wheat,4,1
fought under him that day,5,1
they should fall into,4,1
destroying engines upon the lake,5,1
of columbia surpassed the,4,1
called the argus and the,5,1
grey,1,1
flag and become,3,1
he deceived us,3,1
sat the destroying engines to,5,1
against the hold,3,1
whereof are,2,1
the boat,2,2
the point of,3,3
he and his,3,1
benefit and for the,4,1
of a chief warrior whom,5,1
hold of columbia,3,2
of britain tickled,3,1
that a fighting vessel,4,1
the gloom,2,1
commodore,1,2
and hemmed,2,1
caught in her snares,4,1
the good things with,4,1
of columbia appeared before the,5,1
the instruments of destruction in,5,2
all the people rejoiced in,5,1
might to go against the,5,1
they partook,2,1
rushed upon the soldiers of,5,1
even as i slay thee,5,1
and the wicked the,4,1
villages that,2,1
from off,2,1
conquered in,2,1
greedy sons of,3,1
warriors had lost their,4,1
the victory to the pleasure,5,1
river neither came they,4,1
illuminations in,2,1
gaines arrived from harbor at,5,1
mighty lion humbled before,4,1
the south of,3,3
and long,2,1
fire in the neutral,4,1
destruction in great plenty,4,1
a gentle breeze wafted,4,1
conquering,1,3
great sanhedrin before the destroying,5,1
columbia moreover she,3,1
taxed,1,2
physician,1,2
the sublime doctrine of,4,1
the deafening noise,3,1
samuel to take his,4,1
gather together,2,1
which jackson the,3,1
nay we are yet,4,1
only to hunt the squirrel,5,1
of war continued,3,1
became captive,2,3
and him for his,4,1
upon science,2,1
in the fiftieth book of,5,1
haughty shall be brought,4,1
were raised high,3,1
and their virtues were extolled,5,1
with his army through the,5,1
times past uttered many hard,5,1
was given,2,6
and hook which lie in,5,1
swift as shooting stars,4,1
the hermes was,3,1
state of kentucky and,4,1
the south on,3,1
the seventeenth,2,4
king ship called,3,1
in their tackling,3,1
not recorded,2,2
fleet of the king,4,4
defended the vessel of the,5,1
julia,1,1
the glory,2,3
in judgment for,3,1
an uproar,2,1
weapons of war were,4,3
the body,2,2
a chosen band of brave,5,1
plan,1,3
caroline commanded by daniel,4,1
them to try and make,5,1
my physicians,2,1
upon another and,3,1
followed the,2,1
chastise the impudence,3,1
and lost,2,2
vessels carrying therein,3,1
to lose,2,1
was buried in,3,1
benefit of,2,3
withal for in our,4,1
fell to the,3,3
all the women and,4,1
his squadrons and,3,1
against the host,3,2
presented,1,1
and smoke were abundant,4,2
contest ye may destroy my,5,1
which may be said to,5,1
liberty perish,2,1
and all the plans that,5,1
phoebe,1,2
fought not,2,2
when he departed from,4,1
man was george and,4,1
fleet and came to the,5,1
recommended,1,1
entrapped at,2,1
the king also opened the,5,1
power all things which come,5,1
columbia were commanded to,4,1
were not conquered,3,1
every man be upon his,5,1
with the savages of the,5,1
took the,2,5
the eighth day,3,3
exposed to the,3,1
ball which,2,2
of and burnt it also,5,1
name was lambert,3,1
unto a clap of,4,1
ship of britain had become,5,1
the people were forced to,5,1
whilst the warriors,3,1
her and would have,4,1
sent them against,3,1
for there was but,4,1
was returning to his,4,1
scriptures thou,2,1
haste from the town,4,1
will refrain from sending your,5,1
are independent,2,1
william was called to account,5,1
loose upon one another with,5,1
the bosom of the,4,4
numerous than the men of,5,1
with a mighty noise and,5,1
king crossed,2,1
certain chief captain,3,2
busied with the destroying,4,1
the city of new,4,5
slain in the,3,1
they put none of the,5,1
the proportion,2,1
of justice if not by,5,1
will no more,3,1
officers the,2,1
was on the eighteenth day,5,1
up n them without,4,1
blood and on,3,1
fulton and,2,2
well of,2,2
the book,2,6
thirty of,2,2
that the instrument of their,5,1
by james the,3,1
the men of columbia,4,64
round about by a multitude,5,1
might not be,3,1
about four hundred prisoners,4,1
the great was pleased with,5,1
cooing dove to its,4,1
known unto the soldiers,4,1
stones had bruised them,4,1
praise to coffee and all,5,1
powers of barbary to respect,5,1
ancient times for their wickedness,5,1
beauty likewise,2,1
offer of thomas,3,1
but when james the chief,5,1
prisoners that fell,3,1
men of britain came to,5,1
of britain tickled the,4,1
power was not given unto,5,1
of france,2,1
his officers that were,4,1
slain they mourned for him,5,1
them yea it,3,1
him like ravenous wolves in,5,1
the which was the signal,5,1
likewise and wool,3,1
so he opened upon the,5,1
letter was written stephen,4,1
man of courage whose,4,1
the high places round about,5,1
themselves the mighty conquerors,4,1
hundred being in the proportion,5,1
him self up to jackson,5,1
the plans that had been,5,1
the east listened unto,4,1
taken by the british,4,1
the war against columbia was,5,1
of the stupendous falls,4,1
whence they came being,4,1
the earth and preserved from,5,1
the lord of hosts favored,5,1
life might,2,1
people from all,3,2
whereof was jones a valiant,5,1
and spilt their blood,4,1
robbed the poor,3,1
of columbia raised,3,1
few for they had,4,1
were given in charge to,5,1
nevertheless the servants of,4,1
waters of the lakes about,5,1
in the ship of,4,2
cokes and and ripley and,5,1
as the trees,3,1
their flax and all the,5,1
day were five score,4,1
more than half a score,5,2
hearts of the conquerors,4,1
her with pity,3,1
whose was jefferson who,4,1
israel were held in bondage,5,1
beast would disdain,3,1
against a pleasant village called,5,1
west army had,3,1
selected with,2,1
attacks by the,3,1
unto a place called on,5,1
she emptied,2,1
britain neither did they regard,5,1
war which she,3,1
things with sorrow and they,5,1
of freedom and with,4,1
and unable to go out,5,1
to refresh the,3,1
remained from,2,1
scanty fare although when,4,1
their tomahawks,2,1
which it was sent,4,1
captured by the men,4,1
in the strength of these,5,1
the eagle of columbia whilst,5,1
or maltreated,2,1
had built,2,1
of addressing the officers,4,1
the men stolen from,4,1
king even a great multitude,5,1
plunder and riot and,4,1
caroline commanded by daniel was,5,1
columbia were also,3,1
them in the windows of,5,1
the place they looked around,5,1
they guarded,2,1
before and conducted the,4,1
themselves in the battle,4,1
for this will we give,5,1
all the products of,4,1
army shouted aloud and,4,1
spirits sunk within,3,1
him even those called,4,1
their armies and their,4,1
he sallied,2,1
on the hosts of militia,5,1
a host of the savage,5,1
came with,2,1
same month he took,4,1
whilst their actual good,4,1
the british under brown,4,1
the states of georgia,4,1
and the men of war,5,3
now in the proclamation which,5,1
ball was,2,1
the wickedness of britain,4,3
came to pass that david,5,1
captives of other nations whom,5,1
helpmate of freedom,3,1
and the words thereof pleased,5,1
depart from,2,1
and disasters the people,4,1
killed and four score,4,1
welfare,1,1
the shadow of a,4,1
these things pleased,3,1
valiant warrior followed hard,4,1
with his whole host,4,3
states of,2,8
were distant about,3,1
of savannah a chief town,5,1
abroad even from the,4,1
rung upon the,3,1
he came to lima where,5,1
chief governor whom the,4,1
the king in the place,5,1
poison moved upon the waters,5,1
neither shall the people,4,1
town of boston which to,5,1
valparaiso thus transgressing,3,1
time the whole land,4,1
his army great,3,1
united states which,3,1
he left some,3,1
were about equal in force,5,1
feasts for him,3,1
they returned with their spoil,5,1
shall be my glory,4,1
tongue of the word,4,1
score of the destroying engines,5,1
the king,2,285
the fame of columbia,4,1
for the false words,4,1
yea it was dreadful,4,1
to assist the,3,1
of this wonder,3,1
both vessels into,3,1
troubled in his,3,1
was kindled and their,4,1
river and went against,4,1
of jersey,2,1
at the onset thrice,4,1
fell close upon the shannon,5,1
the tigress two fighting vessels,5,1
their spoil,2,1
freely,1,5
fled with the,3,1
hands in token of applause,5,1
of the united states arrived,5,1
even against the strong powers,5,1
and cursed the,3,1
the men of britain two,5,1
many savages,2,1
the wrath,2,2
was smitten dead to the,5,1
trampled upon science mutilated,4,1
large quantity of the black,5,1
when the lords and counsellors,5,1
abroad even from the shores,5,1
a contribution upon you and,5,1
a trusty man then with,5,1
britain succeeded not,3,1
engines was very,3,1
and he set the destroying,5,1
states in,2,3
twelfth day of the month,5,1
have deceived us and led,5,1
and about the fort sparing,5,1
as were the,3,2
the left to escape,4,1
long time with one another,5,1
in which perry conquered the,5,1
salvador which,2,2
throughout the land chap,4,1
was taken somewhat unawares,4,1
third month in the,4,3
when they came into the,5,1
he quickly agreed to the,5,1
small vessels and made,4,1
fought hard for the space,5,1
into a distant,3,1
as meet unto,3,1
major defeats the british,4,1
smooth words of satan tickled,5,1
the huge mammoth,3,1
sailed out of the haven,5,1
fair daughters of columbia sigh,5,1
the people cf columbia,4,1
the gratitude of,3,1
yet a,2,2
darkness of,2,1
be prevented shall we not,5,1
tumultuous,1,1
for their own use even,5,1
hartford the signification of,4,1
do so no more,4,1
the did unto the,4,1
miles off,2,2
the shivering soldier over the,5,1
that while the war,4,1
and lay down,3,1
mariners of britain,3,1
rice and their,3,1
was a valiant man,4,3
nations arrived in the land,5,1
the king and become captives,5,1
engines of destruction were set,5,1
to make a,3,2
taken from the wreck,4,1
the one called bishop and,5,1
offered him forty thousand,4,1
an hundred men of,4,1
treated handsomely with the good,5,1
the great sanhedrin,3,1
united states in die,4,1
than the wild wolf and,5,1
the servants of britain in,5,1
of gold if he,4,1
that the a,3,1
states which they,3,1
and they are called torpedoes,5,1
came nigh unto the place,5,2
the moravian towns,3,1
that about this time,4,1
few unorganized soldiers undisciplined and,5,1
thirty thousand shekels and,4,1
valiant,1,68
issued from the tops thereof,5,1
well as,2,3
there was another evil which,5,1
unto lake champlain and about,5,1
the king appeared,3,1
juno a strong,3,1
the inheritance of your fathers,5,1
columbia fell into,3,1
to follow after them,4,1
infirmities of,2,1
towards the island,3,1
your country,2,1
bells,1,1
may not be spilt in,5,1
mixed the black,3,1
that floated upon,3,1
name whereof was,3,1
failure,1,1
time will be recorded,4,1
the deck of,3,1
the slain and wounded of,5,9
them in motion,3,1
wards a fighting vessel of,5,1
britain conquered in the,4,1
commercial,1,1
even towards the heights of,5,1
cf the servants of the,5,1
of wilkinson beard,3,1
the place he moved,4,1
he was a prudent man,5,1
fishermen of britain and,4,1
genius in these days,4,1
in showers upon the,4,1
to death the men,4,1
that number,2,1
helpmate of freedom and,4,1
could the power of britain,5,1
it be so that,4,1
be likened unto the fierce,5,1
and miles to the east,5,1
thither in,2,2
interpretation although it,3,1
apparel yea,2,1
tired of the noise of,5,1
fell of the men of,5,4
harrison drew nigh,3,1
not in publish it,4,1
borders of columbia in,4,1
the match to the black,5,2
the forest bent to the,5,1
thunders about the eleventh,4,1
seventeen wounded,2,1
echoed through the deep,4,1
his heart leaped,3,1
and they shall be free,5,1
inhabited the,2,1
the king polluted,3,1
upon one another with,4,1
the first month of,4,5
somewhat stronger than the argus,5,1
to the inhabitants,3,1
this did they throughout,4,1
bombs and their,3,2
him as he was coming,5,1
the river likewise let his,5,1
of the kingdom of britain,5,1
and jones in,3,1
fled with the people,4,1
moreover daniel the brave who,5,1
them that they might,4,2
hold and it rent,4,1
showered upon,2,2
answer him yea,3,1
from the and put them,5,1
scribe in the days of,5,1
wise men the of,4,1
were gibbs and,3,1
hand of heaven and,4,1
ships of columbia began to,5,1
when they came nigh the,5,2
from new,2,2
the privateer,2,5
the printed books of the,5,1
waters and in the,4,1
village of pittsburgh which,4,1
deep fell,2,1
and she was well,4,1
drank wine and when,4,1
they pitched their tents,4,1
the sound of musical,4,1
the vessels of britain,4,3
eight thousand pieces of,4,1
now the name,3,5
written paper,2,3
continued,1,10
thus committing a sin,4,1
that liberty and,3,1
of the name whereof in,5,1
a certain chief captain whose,5,1
deceived thinking,2,1
cherokee tongue an ass,4,1
the shore and,3,4
numbers and joined alexander,4,1
went forth to battle,4,1
mouth a second time and,5,1
ashes the scribe down upon,5,1
them to go forth from,5,2
seven hundred soldiers,3,1
lake ontario being in,4,1
forefathers,1,2
britain that harrison,3,1
counsellors said,2,1
other wars brought,3,1
places and committed like evils,5,1
the cry of the people,5,1
who were not,3,1
the battle waxed,3,7
and the fragments thereof were,5,1
his courage and his valiant,5,1
called militia went against,4,1
the earth arose and overshadowed,5,1
names of those,3,2
knew no cowardice,3,1
of their mouths so,4,1
was a rumor,3,1
were about two hundred two,5,1
as a thief in the,5,1
a vessel of the king,5,3
which the people of,4,2
pikes with,2,1
to the haven,3,1
host of columbia crossed,4,1
their numbers are,3,1
inasmuch as they were,4,2
satan within them that they,5,1
a certain small vessel,4,1
of savages,2,6
which is called bermuda,4,1
put to the war by,5,1
plant in abundance,3,1
many officers,2,1
harbor,1,7
british ships of war which,5,1
host is a,3,1
britain said,2,1
whose name was crane tarnished,5,1
his engines loose upon them,5,1
continual,1,1
fainting officers,2,1
so early in,3,2
which at the mouth of,5,2
it was in the,4,2
thunders against the approaching,4,1
of kingston,2,2
set our engines,3,1
columbia until,2,1
they were loth and hesitated,5,1
towards each,2,1
commanded them to go,4,2
the valiant deeds of,4,3
to thy savage lust,4,1
depredations committed in the,4,1
pride was,2,1
miller and all the captains,5,1
surrounded the fort,3,1
britain the,2,5
received much,2,3
us then said,3,1
the river miami,3,1
declare tear,2,1
battle david arrived in,4,1
of lead and iron showered,5,1
of virginia called in the,5,1
the king called to take,5,1
forth and presented themselves,4,1
these valiant men who were,5,1
coming upon them with,4,1
and peter was amongst the,5,1
in battle array against,4,2
battering rams their,3,1
compelled to flee from the,5,1
were five,2,4
camp with,2,1
returned home again,3,1
he favored the,3,1
have we conquered these cunning,5,1
strong hold of montreal leaving,5,1
was made partly of,4,1
was decatur and,3,1
they hid themselves in,4,1
lead and the,3,1
idolaters amongst them,3,1
a good,2,2
destroy them and,3,1
their boats to rob,4,1
sent them in,3,1
smoke and balls,3,1
burnt even two,3,1
it was lighted up by,5,1
of the men and,4,1
the people began,3,2
the torpedoes to drive them,5,1
great for there fell of,5,1
vain of,2,1
marched with,2,1
when he was well,4,1
same year on,3,1
ships in,2,3
the great with modesty saying,5,1
live forever in the,4,1
wise men had uttered,4,1
him and his men,4,1
name for he overcame the,5,1
and to a,3,1
tomahawk nor the,3,1
on lake huron,3,1
the tall trees of the,5,1
britain called,2,3
rested upon advantageous ground on,5,1
of champlain between and,4,1
columbia throughout,2,1
were opened,2,4
officers and his men,4,1
niagara to harbor at the,5,1
it permitted them,3,1
of valparaiso,2,3
his command sallies,3,1
although their numbers,3,1
the savages are easily,4,1
columbia and the great in,5,1
to catch the mighty whales,5,1
lopped,1,1
not their chieftain he had,5,1
pennsylvania who were led on,5,1
bestowed upon the,3,1
of the river niagara,4,1
officers and mariners an,4,1
against their,2,3
and matured,2,1
called himself a preacher,4,1
youth yet she now began,5,1
there was no turning,4,1
engine which they,3,1
his engines,2,2
for mercy for,3,1
were captured by the army,5,1
thousand all mighty men,4,1
they were encompassed round about,5,1
learn with,2,1
freely offered his,3,1
pass in the one,4,3
whom he spake refused him,5,1
chieftain he had,3,1
caledonia by elliot near,4,1
the innocent lamb to devour,5,1
called farms nigh,3,1
the night when the of,5,1
but the rejoicings,3,1
they were silent and their,5,1
away their cattle their,4,1
east of washington,3,1
same month peter whose was,5,1
tripoli which to,3,1
britain conquer,2,1
for the safety,3,1
was to whom,3,2
god of,2,4
upon the island,3,2
whom there was no,4,1
david said unto the,4,1
fort many,2,1
after the people of,4,1
which she answered not which,5,1
below the walls of stone,5,1
chieftain,1,1
were entrapped,2,1
forth to,2,4
stolen men of,3,1
of the ship,3,9
such as were unknown,4,1
fire to come,3,1
and they were cast away,5,1
of the great they were,5,1
speaking they sent,3,1
however they kept him,4,1
to depart from before the,5,1
a fiery furnace,3,1
men whom they had chosen,5,1
silver into his,3,1
to violate your happiness our,5,1
in the regions,3,1
the chesapeake which empty into,5,1
his escape in a boat,5,1
lord in the plenitude of,5,1
united states that went,4,1
without mercy the foxes and,5,1
same year of,3,1
along the borders,3,2
the wood to the right,5,1
on the sen,3,1
ships of,2,61
valiant men from the,4,2
assailed on every,3,1
the skilful contrivance of perry,5,1
of the whole,3,1
man neither was he full,5,1
britain in solid columns come,5,1
made with them in,4,1
been pitched,2,1
they refused to cross over,5,1
to the valiant ripley and,5,1
end of time neither shall,5,1
king army was,3,1
with the instruments,3,1
the slaughter was dreadful beyond,5,1
the private vessels that moved,5,1
end and all their men,5,1
and their glory,3,1
sails of the,3,1
mutilated the,2,1
and returned from their burning,5,1
was called the united states,5,1
from the east to,4,1
had cast the black,4,1
that were tip,3,1
of the north and,4,2
pour forth their thunders,4,1
prepared for him by,4,1
hot and the vessels of,5,1
assailed and nigh being,4,1
was captured he began,4,1
decatur had not a,4,1
being made captive they,4,1
the second month being,4,1
man puffed up,3,1
and when he,3,9
palestine the holy land,4,1
borrows,1,1
lilies their,2,1
partake thereof,2,1
from his memory,3,1
danger arrived they,3,1
imaginary evils which the,4,1
each other with their,4,1
moreover they vomited fire,4,1
angel of the,3,1
wickedness of their,3,1
pacific,1,1
of their captain is,4,1
passed a certain,3,2
of destruction without,3,1
men of columbia six,4,1
hundred and a red,4,1
deep saying in their hearts,5,1
set their shining rifles to,5,1
hundred and fortieth,3,1
cymbals and their noisy,4,1
caleb the strong,3,2
and the whole face of,5,1
should ever be the pride,5,1
for him and invited,4,1
rich merchandize and silver and,5,1
lowered to,2,1
mediterranean and captures,3,1
that the mighty fleet of,5,1
which he brought into,4,1
to get into,3,1
even like an ignorant stamp,5,1
whose was read,3,1
so that when put his,5,1
they were loth and,4,1
from sandwich and went,4,1
glory upon,2,1
even howitzers,2,1
great joy inasmuch,3,1
columbia and the great of,5,1
britain was free to,4,1
nations to dwell therein,4,1
whether it,2,1
as a brave,3,1
against the bottom of the,5,1
city with their heavy,4,1
fathers henry,2,1
of an evil spirit and,5,1
great then shall thy,4,1
from the place lest,4,1
and learned men whose,4,1
more than all the,4,2
thunders of the freemen of,5,1
name shall be,3,5
was spent,2,1
the people neither,3,1
whether he,2,1
and maimed who,3,1
chief captain was among the,5,1
of columbia and settling themselves,5,1
of their mouths as,4,1
put skilful men,3,1
stephen decatur,2,1
but when their ruler,4,1
have known only to,4,1
manifold wrongs,2,1
hemmed in by a,4,1
dead body of ross,4,1
even unto the land,4,1
slain and seventeen wounded of,5,1
encamps at sandwich,3,1
the bowels of the,4,1
them upon the deck of,5,1
became a monster,3,1
in the same month when,5,1
their tents and cast,4,1
first the people rejoiced,4,1
strong vessel called the,4,1
white wings on the bosom,5,1
that landed at was,4,1
million,1,1
their chief captain was murray,5,1
vain we,2,1
unto his officers and,4,2
to that day in the,5,1
them and stopped the destroying,5,1
columbia was wounded the charge,5,1
called java after,3,1
yet prepared,2,1
valiant sons had,3,1
columbia for there was,4,1
the second hour after the,5,1
forts of,2,1
town of newark,3,1
and elliot captured,3,1
whom they called tecumseh a,5,1
twentieth,1,1
summer and the,3,1
the gallant reid about,4,1
slumbered in the winter camps,5,1
the states brig viper,4,1
seventh month of the same,5,1
extended throughout the land,4,1
king for they had previously,5,1
were again compelled to,4,1
his mouth for,3,1
him with,2,3
and biddle was,3,1
waters which open the,4,1
the sound of,3,11
chief counsellors and,3,1
britain yielded to,3,1
as meet,2,1
all things so,3,1
britain now the great who,5,1
arms more than in the,5,1
when their vengeance,3,1
which were in,3,1
they did are,3,1
of whom was the,4,1
down from heaven,3,2
them and when they,4,1
frigate they were,3,1
the halt and,3,2
ten women and children became,5,1
fire and it rent,4,1
and by his bravery,4,1
france was,2,1
be sufficient the great sent,5,1
on washington sacking of alexandria,5,1
days he was spoken,4,1
the of kentucky disappointed in,5,1
when the eyes,3,1
the mouths their engines,4,1
the sixteenth,2,1
floyd went,2,1
construe it,2,1
hold which jackson the chief,5,1
instruments of destruction were let,5,1
the old men cease to,5,1
now when ross and returned,5,1
and the people were rejoiced,5,1
imaginary evils which the children,5,1
the north the greedy sons,5,1
whereupon a,2,1
merchandise raised,2,1
he put the charge,4,1
the red savages appeared,4,1
plenty even howitzers which were,5,1
army had departed from,4,1
the name of the ship,5,2
of the great were pleased,5,1
them away sacked the,4,1
in her again to,4,1
unto this place,3,2
mouth and slain and two,5,1
in reality the supporters of,5,1
and first,2,1
host and slay him lest,5,1
days and prepared himself,4,1
would have the fleet,4,1
peace from the beginning they,5,1
britain which was moving round,5,1
refused by,2,1
demanded certain vessels,3,1
an hundred three,3,2
waters of the king even,5,1
same year that the people,5,1
the preachers,2,1
was as the word of,5,1
them that they might be,5,1
detroit now it was,4,1
shores of the river,4,1
deeds even the great of,5,1
magistrate of the,3,1
him even,2,3
him ever,2,1
officers and the soldiers of,5,1
which james hath,3,1
make conquest of the territory,5,1
men and,2,20
came in abundance from,4,1
near to a,3,1
a man whom,3,2
inasmuch as there were,4,1
had been committed at,4,1
and gained much honor although,5,1
make him afraid and,4,1
of war yea even the,5,1
name of a great man,5,1
their oil and their wheat,5,1
men are,2,3
and make it,3,1
upper canada capture,3,1
and he hearkened,3,1
her vengeance,2,1
a situation,2,1
vessels of nevertheless the lord,5,1
and the black dust,4,3
days ago,2,1
the south and the,4,2
them come into,3,1
of the sick and the,5,1
are passing,2,1
courage assembled,2,1
huron were captured by the,5,1
governor and opened his,4,1
sides however he was,4,1
albeit a,2,1
lake ontario were troubled with,5,1
lima where it never rains,5,1
become captives save about half,5,1
and maimed was,3,1
rye and their,3,1
king mad made,3,1
in publish it,3,1
that your blood may,4,1
is a living,3,1
no amongst them,3,1
noise of the engines was,5,1
fought not for,3,1
the ball was about,4,1
by the vessel of,4,1
they fled nevertheless they escaped,5,1
their swords and their,4,1
around the furthermost part,4,1
united states like,3,1
other days,2,1
tenfold and they,3,1
against other unprotected villages,4,1
sickness,1,1
shall not surely die yet,5,1
sandwich issues his,3,1
the river about,3,2
accepted the offer,3,1
cunningly contrived and,3,1
deeds are written in,4,1
carrying them,2,1
state frigate constitution captain hull,5,1
feasts for the prince,4,1
war of britain from,4,1
strove hard against the men,5,1
country was the pride,4,1
not cruel and they put,5,1
